SDD21_Lower	SDD11_Upper	SCD21_Upper	SCD22_Upper	SCD21-SDD21_Upper	NEXT_Upper	SDD21_offset
-6	-6.384553414	-18	-11.18455341	-10	-35	0.790981
-6	-6.369761814	-18	-11.16976181	-10	-35	0.793186
-6	-6.355007996	-18	-11.155008	-10	-35	0.794854
-6	-6.340291768	-18	-11.14029177	-10	-35	0.797112
-6	-6.325612937	-18	-11.12561294	-10	-35	0.797626
-6	-6.310971316	-18	-11.11097132	-10	-35	0.799506
-6	-6.296366715	-18	-11.09636671	-10	-35	0.799489
-6	-6.281798948	-18	-11.08179895	-10	-35	0.800331
-6	-6.267267829	-18	-11.06726783	-10	-35	0.800131
-6	-6.252773175	-18	-11.05277318	-10	-35	0.801454
-6	-6.238314803	-18	-11.0383148	-10	-35	0.803159
-6	-6.223892532	-18	-11.02389253	-10	-35	0.804185
-6	-6.209506182	-18	-11.00950618	-10	-35	0.807243
-6	-6.195155574	-18	-10.99515557	-10	-35	0.808496
-6	-6.180840532	-18	-10.98084053	-10	-35	0.813002
-6	-6.166560879	-18	-10.96656088	-10	-35	0.811026
-6	-6.152316441	-18	-10.95231644	-10	-35	0.814041
-6	-6.138107045	-18	-10.93810705	-10	-35	0.814042
-6	-6.123932519	-18	-10.92393252	-10	-35	0.816162
-6	-6.109792691	-18	-10.90979269	-10	-35	0.816208
-6	-6.095687393	-18	-10.89568739	-10	-35	0.817587
-6	-6.081616457	-18	-10.88161646	-10	-35	0.818909
-6	-6.067579715	-18	-10.86757971	-10	-35	0.820671
-6	-6.053577001	-18	-10.853577	-10	-35	0.822821
-6	-6.039608151	-18	-10.83960815	-10	-35	0.824316
-6	-6.025673002	-18	-10.825673	-10	-35	0.826922
-6	-6.01177139	-18	-10.81177139	-10	-35	0.82868
-6	-5.997903157	-18	-10.79790316	-10	-35	0.829939
-6	-5.98406814	-18	-10.78406814	-10	-35	0.831808
-6	-5.970266182	-18	-10.77026618	-10	-35	0.833538
-6	-5.956497125	-18	-10.75649713	-10	-35	0.834507
-6	-5.942760813	-18	-10.74276081	-10	-35	0.836447
-6	-5.92905709	-18	-10.72905709	-10	-35	0.836653
-6	-5.915385802	-18	-10.7153858	-10	-35	0.839623
-6	-5.901746795	-18	-10.7017468	-10	-35	0.842078
-6	-5.888139918	-18	-10.68813992	-10	-35	0.843837
-6	-5.87456502	-18	-10.67456502	-10	-35	0.844748
-6	-5.86102195	-18	-10.66102195	-10	-35	0.84693
-6	-5.84751056	-18	-10.64751056	-10	-35	0.848588
-6	-5.834030702	-18	-10.6340307	-10	-35	0.850616
-6	-5.820582229	-18	-10.62058223	-10	-35	0.851788
-6	-5.807164995	-18	-10.60716499	-10	-35	0.853576
-6	-5.793778855	-18	-10.59377886	-10	-35	0.854447
-6	-5.780423666	-18	-10.58042367	-10	-35	0.856413
-6	-5.767099285	-18	-10.56709929	-10	-35	0.859893
-6	-5.75380557	-18	-10.55380557	-10	-35	0.859972
-6	-5.74054238	-18	-10.54054238	-10	-35	0.861245
-6	-5.727309576	-18	-10.52730958	-10	-35	0.861899
-6	-5.714107018	-18	-10.51410702	-10	-35	0.865824
-6	-5.700934569	-18	-10.50093457	-10	-35	0.866948
-6	-5.687792091	-18	-10.48779209	-10	-35	0.868939
-6	-5.674679448	-18	-10.47467945	-10	-35	0.871179
